# freq_cm^-1	transmission_x	transmission_y
164.99064701	1.885530725885e+00	9.981176875712e-01
166.69158151	1.747724187129e+00	9.981684906786e-01
168.39251602	1.774989070007e+00	9.979992349811e-01
170.09345052	1.772920814669e+00	8.874253309311e-01
171.79438503	1.664090563754e+00	8.873873715117e-01
173.49531953	1.663415957403e+00	8.873586451465e-01
175.19625404	1.553197895279e+00	8.871202844911e-01
176.89718854	1.552748879594e+00	7.765489790699e-01
178.59812305	1.442281773851e+00	7.765018540652e-01
180.29905755	1.654743432323e+00	8.718042893834e-01
181.99999206	1.773437275195e+00	1.100933309802e+00
183.70092656	2.214807420563e+00	1.211905679796e+00
185.40186107	2.537366022087e+00	1.213749337324e+00
187.10279557	2.960504248094e+00	1.646885688367e+00
188.80373008	2.316638145827e+00	1.212950205742e+00
190.50466459	2.072658358862e+00	1.103991946964e+00
192.20559909	1.764546749049e+00	1.104197242656e+00
193.90653360	1.433826983187e+00	7.741611519528e-01
195.60746810	1.200240036310e+00	7.572782404185e-01
197.30840261	8.133373362600e-01	4.418301776764e-01
199.00933711	1.186903213932e-05	1.819597313031e-08
200.71027162	8.847797019613e-12	2.662162009240e-13
202.41120612	2.792800796405e-13	5.148218732943e-15
